block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1,ethereum_address
305595683,2021-05-04T22:42:08,0x0b675c9d52dc833f731614307f9da65998cd1cefb8997d7601fdabc09a7bc86b,241,0xdc7b403e2e967eaf6c97d79316d285b8a112fda7,-82940,-76010,347064837589551431,4737020364940845353,457721123056046,0xbdefd10dc6cc47d48d3cf5de21825679
305596808,2021-05-05T00:29:05,0x6a3ba2478ce7bbba2abba8006cd43c9647c6ddb6b5a24370e9a259a78c155c70,153,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,-109260,-84000,4648242676661787499,0,49999999999999999,0x5780efce56e24dcea194af38b40fbf7c
305599777,2021-05-05T02:30:25,0x2080ac3618480f84a18be4141b78ce5fd44c60281988521d64cb6f9c4202178d,160,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,195060,195540,229999453607114,167515954,44752439435469122,0xbadf4b9be0514824ba81f6469762af12
305600613,2021-05-05T03:41:54,0x0737a5f81f0714c3ddbb063c5d40cd6d2c2b62c16a46c56bd3666cbe240af53d,235,0x6c6bc977e13df9b0de53b251522280bb72383700,-276400,-276250,1322211004421028020,4934890281201623516927,4962626728,0x507f4cbdd2dd404784f0cb2127cf77f8
305600613,2021-05-05T03:41:54,0x0737a5f81f0714c3ddbb063c5d40cd6d2c2b62c46a46c56bd3766cbe240af53d,237,0x6c6bc977e13df9b0de53b251522280bb72383700,-276400,-276250,0,0,0,0xf57bb47e383c4dd3a3a17eec1e2c2aeb
305607027,2021-05-05T08:32:25,0x37a60259123b630e1904f8e41cad221ebbff7ea760d38b8b2074642dcb518a8b,153,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,-81900,-80040,0,0,0,0xd24f644fd2ef48cdb2cc778d9120d9b4
305616744,2021-05-05T18:08:55,0xbd11398fab23d32f38f92441a97a25feeae14382ccce05ac1b1539d933152aa9,193,0x2efec2097beede290b2eed63e2faf5ecbbc528fc,-6960,4080,969509730396516666654,0,504314224217004277382,0xd183b09daff445e48679cd25982decc4
305616752,2021-05-05T18:09:23,0xf8b2014c4dca5307abe2f376f85efd157ba2e7d94dfff806a05804c2483ca09f,1,0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,-31800,-23040,137761317799476056118,43609082067927119635,11481184368749872449,0x876debfbf449489c8f0ac14105293c25
305616757,2021-05-05T18:10:41,0x68aac5f8f5404eb103395f9c2245aa7c4cedd07ba73e67fa9f25cdfb6a133155,328,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,194460,195900,41272289018451860,85174108087,25000233018074718080,0xf57815ce95b34e0cbe11f83f8e212678
305616936,2021-05-05T18:22:36,0x94340fe151f4ae1a66ccff45b06bbfe7b2ee27fcd0a2742fc8adf33bb87268d4,303,0x2efec2097beede290b2eed63e2faf5ecbbc528fc,-88080,-62160,23500977087765784523515,0,762986717932668533734,0x71234400bb9a4bb88b6987b84f322a62
305616953,2021-05-05T18:24:47,0x1bfa599133b247738f35fcbc44e874960822b7dd185f530472acfcb535e6040c,213,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,-357720,-357600,34051832459228095020,0,3500827843,0xbebba3f12e6149609a8ec75c48f2d92c
