block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1,ethereum_address
305567545,2021-05-04T19:52:36,0x37d8f4b1b371fde9e4b1942588d16a1cbf424b7c66e731ec915aca785ca2efcf,29,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,-50580,-36720,383995753785830744,999999999999999924,12643817461972260,0x3fa601e6bce84ff48cdf77d9fb312277
305567584,2021-05-04T19:58:13,0xa877e18bbdcf69b751f56b4aa5b91a903ae69de2d775f1eb27fba4ba25abff2a,84,0x6c6bc977e13df9b0de53b251522280bb72383700,-276330,-276320,3964498619038659,990999470264928008,990903,0x80c799ab3d91467787df771f80613559
305567761,2021-05-04T20:07:45,0x004cb88319b0678320cb0a04fab8003897f33c345576adfbb1f79b903a0509f0,152,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,192200,198000,123809464957093,1000000000,279014992999144318,0x086b1290c41f4d5bbd9958b76954f631
305567777,2021-05-04T20:09:34,0xf87d91f3d72a8e912c020c2e316151f3557b1217b44d4f6b6bec126448318530,48,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,253320,264600,34399999543676,24146777,2874562901206669893,0x63d255faaa84494c9a3912b417ceb732
305567779,2021-05-04T20:09:47,0x2c3274cf2e039fbac8fd3319510533dcca285d02187818111e80e4d497140498,27,0x6c6bc977e13df9b0de53b251522280bb72383700,-276400,-276250,2698389804940873511,10099999999987498226846,10099016801,0xe41eab069e71466e980f64d60340bd4b
305567814,2021-05-04T20:14:49,0xc0fac796f37784b4cf12bc091e6ed3e56cc8a410773a8523a0e1204a5b8cf413,236,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,255540,262440,2154941425,1071,99986353084909,0x0862868455c84ddea0469fd00ba65c2a
305567828,2021-05-04T20:16:08,0x8c2161cdf81dacef87759fa8f1f8f94dc9de293b757939fcf0fdc866e80ed052,67,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,-84120,-78240,80059851033970806503,680071584006526489483,175315040975323805,0x6e735aae0ba04d419a25869ff926a11b
305567843,2021-05-04T20:17:58,0x67c510c3d7b2a01c7a164c3129ceb5f6ae2af01ceace9c92ae410a1d4d4921a8,11,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,-10,10,21206360421978,10599999999,10599999999,0xa6c47dc737104a88af2f2bebcd80542e
305567865,2021-05-04T20:21:15,0x9878bb2d3511c1e73beb2ce8a3c46f14f0ef0f8b3289f165789bd323b5f49957,44,0x886072a44bdd944495eff38ace8ce75c1eacdaf6,-16080,7990,1449417745482598683,856794571828841113,500000000000000000,0x3b456db9eb324519b4f2d8c07236976c
305568001,2021-05-04T20:24:36,0xee9a8269d74cb0454264e30a019fd8ab79ea7602259ae7de60968858ff86d645,94,0xf83d5aaab14507a53f97d3c18bdb52c4a62efc40,31380,32940,39095558843543104,322256929184412,6899999999999990,0x9d8d563ad81b43e7a2e960b14bdb2b6f
305568034,2021-05-04T20:28:40,0x50b3d60ea527bde2c4684d09696c12daa3b9f2e03004978f960782cef5f423f7,116,0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,-92100,46080,78061655716071305,999999999999999877,5265554353194025,0x3d0ac903e05e4aa988d6113710f30fcc
305568064,2021-05-04T20:32:07,0xdded8480dcb932110b91ea2ee5515952f326adc73aab20e65847026a845f94fc,303,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,253320,260700,119255067035,37353,9999857400706365,0x864034c4728745d88e96c8c35a59935c
305594385,2021-05-04T20:46:44,0x963415802ca1d744d6d69ef10f1f5b7080db069a92ce4d8376858aecd4340c78,92,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,-84120,-78240,41612786642957504319,335885061271860969493,96305785967128556,0x7370baf8e680410aa66545349b3c03cd
305594388,2021-05-04T20:47:12,0x4916ff106f455203c14b875266c4c91f8f51253976d5785f61eb437dcf2a8c2c,195,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,-81900,-80040,100961002448877659420,339657066564503871232,56960427817480638,0xf253d35b26b448d5b1bef4e97efafc58
305594417,2021-05-04T20:50:31,0xb63423c77e18872cf1ce02fe4cdeee45c652c05ab462c8a00346649e4c018ce9,174,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,-82920,-79560,7079623107842667994,32999999999999997321,9858074450759725,0x48b642434dbd491dbbd20e9c15c78848
305594419,2021-05-04T20:50:50,0x4c178aa092294a786654d53d3a7ffcc02a093573cdcda541a9b6b81d3f98daab,151,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,255900,258600,246584554095,17172,9999577316909907,0x49327808996f4704b8e0c5265b6a7457
305594488,2021-05-04T21:00:16,0xc3408afc7a181483ed1e692f30c6660e1691dba3505f8bff70ca6f9830c720c3,195,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,-276340,-276310,44016558684498130,32999999432280127947,32996787,0x5c2c04f4095b4d9ab7d832bf6a92a6ac
305594488,2021-05-04T21:00:16,0xb0e26398e1ad06addd13d842591b3b843dbf718743f8a67a196dbac774b043b9,201,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,255540,265320,9187864519,7000,431620649787137,0x5dbb2559bdd040fdab958a033f3be4dc
305594504,2021-05-04T21:02:17,0x090034a70817ad4b349c06dea0d62364220f39678bfd8bf48aa1cc29de797d6e,158,0xff2bdf3044c601679dede16f5d4a460b35cebfee,-55200,-51300,37989950182724238760,49999999999999999966,249049286966940251,0xb566b5fb19794c97bcb6cf6ef7079219
305594720,2021-05-04T21:18:02,0x71599500861470e70ddcf054a5103f2166c4fa4e2db8e8956231e14800bec13a,7,0x6c6bc977e13df9b0de53b251522280bb72383700,-276330,-276320,2612665665083454754,635168768981752166419,670933870,0xef9ad247e09c47aba7bbc5b1dc9d09b2
305594721,2021-05-04T21:18:06,0x6425041331d6d86a357ca3ac0225daaebf9921f9774cc47565709889d7a338dd,178,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,-276370,-276280,14684620940108454,33003212745084668275,33000000,0x4fac2040b11d434fa4235324b8b272ab
305594725,2021-05-04T21:18:54,0xc7a9bdd958db3538123b0643708f4822ec7aba76ecd148cfca9cdc09b64186a0,360,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,-46080,-39120,1108200721485416849,1999999999999999935,14191242973058710,0x23835ad0ee5e4ff2ab47d3f0bce11723
305594761,2021-05-04T21:24:32,0x79ce22cf42c24772cd3fe5875bea9bb38ffa55e340711fd42f2b8bbafeced9dc,273,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,193600,198400,13358544967193,100000000,22076354044806536,0xc6d8c785fcf44b3b9bf5763a3ac400a5
305594937,2021-05-04T21:37:24,0xcd8dca349b2b3a15bcdc1a2e67d5b25d72e87f0ff7b45b946cdbe30be62c0a47,182,0x04916039b1f59d9745bf6e0a21f191d1e0a84287,27060,27720,3538148000166353487,13282439359208485,249999999999999988,0xca1e52b850a94f9a9891b5671dd77a3c
305594952,2021-05-04T21:38:37,0xc6948b019bbb045db6ab5e4869e63a192686a636451adb49144b7788e5e4c957,75,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,-85200,-69060,2582287001715558771,68356152803570892033,8000000000000000,0x083b4866e7b34ff8b36b1f1763848de6
305594966,2021-05-04T21:39:35,0x4cb0739e1c9da1845bfd041eafda8a43fc197bda49ac5999a43156eff3d4aa49,162,0x5598931bfbb43eec686fa4b5b92b5152ebadc2f6,-16200,-13400,1896563546088373413,271499999999999996,60541394491706658,0x96638f18a1ec47959a14b5f43bd4da90
305594984,2021-05-04T21:41:58,0xa503f71b5686bf337d46402a66abbe2bb97b230786c7a415701d5cc82e608746,217,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,193200,194800,153249855151766,0,199999999999998747,0xbe37985c1bc34b3e931348e3344116c7
305595142,2021-05-04T21:49:49,0xca9cb9fc6f0a53f999f1aa05d2bae08c9d2c70f3716b8b2dd847b03d4edd3689,308,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,257820,258180,3788047809993,62040,17233616259546344,0x9482a36cbbf04389b6be39193fba216f
305595158,2021-05-04T21:52:37,0x9c5740fb30e27d0e3a4d17bde68738a22bfb25ee138e1249a78dd3076a250d13,194,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,-276370,-276280,8898903874096930,19999999928681172371,19998053,0xe73908b0f5334870aeecda8da0ebfc37
305595174,2021-05-04T21:55:51,0x1e0eb87e4b91290cbcb77cdee0a5b24489fcae289a96c5936fc3fce066774cf9,319,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,-276530,-276120,1961238680233769,19999999928681159113,19998053,0xb3051181bd3f4e518bc4f083fc3bf5db
305595207,2021-05-04T22:01:32,0x98d7380c17e3d15cc163bb1fcbb0a2f34865c053f66a8e748ecd42269034f428,306,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,-276330,-276320,4000505283556102902,999999999434350814786,999902653,0xaf32b824964d4ccc95fd4b9beb712ac9
305595217,2021-05-04T22:02:03,0x43ba7ecd53f7c78856f72a655674995e1189430d49ad52bf4e83bb882c88feae,46,0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6,-14820,-13860,2409707445097199245,120000000000000000,27192756907874767,0x41f731732b8044649b2cd8fdb5ac2e50
305595286,2021-05-04T22:11:00,0xad11e10d731b3ee6df0b993c928e9c796820f61cc2366a5d556b104819c8c247,298,0xdc7b403e2e967eaf6c97d79316d285b8a112fda7,-82940,-76010,347064837589551431,4737020364940845354,457721123056047,0x6a24d1b0594448d291e3840816d7a6e9
305595445,2021-05-04T22:18:34,0x6b7b4f4b3932703d50d9ef8cfbf4f41127aa1ab02740ca4a6de3398761d6edbe,334,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,-82140,-80700,147132426127987310089,224999999999999998494,112245596651507789,0x21e189d8a7d04a139c3effade1df2b1c
305595731,2021-05-04T22:52:15,0xa9a34dd77322abd7cab8031dc65aaaa6665be675f1a1d77c79f7863a3af96451,391,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,-276530,-276120,980619291081143,9999999464291892782,9999026,0xccde7929781c4e8fb4e3935f43d6f42b
305595796,2021-05-04T23:03:53,0x1b78ed9e10103380a021ccb497d7fa0cb87a2725ed71f445001c759e97595746,130,0xbb2e5c2ff298fd96e166f90c8abacaf714df14f8,-520,100,597823588172650367738,13778354781468301226,4737020364940854248,0xd8205b5e479d4baab959c4159ccd92e6
305595940,2021-05-04T23:10:00,0x89d75075eaef8c21ab215ae54144ba563b850ee7460f89b2a175fd0e267ed330,136,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,192180,193380,10860507277202,0,9999999999999134,0x406a39bf50134218b44bc6a053257003
305596017,2021-05-04T23:19:42,0xa1e74984726029b415fbae234585ce9a58c7d4c0cba3ef241116ea4d1d85172d,353,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,192660,199800,4303369674465501,50000000000,9205484119256534384,0x0684179d6fdc4aaca0e9568ba5ae5ba3
305596272,2021-05-04T23:40:19,0xd689a001d1ef681b5401afddc194d7c3467c18d82039dba91323c651f1b2782c,52,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,-109260,-84000,4648242676661787499,0,50000000000000000,0x5351ba816c1042a0a5324f350aea50ac
305598855,2021-05-05T01:12:22,0x7ede172918a61cd025a29a6198ec9d2143558abbdbbd5b7f027d1996f0012d08,139,0x6c6bc977e13df9b0de53b251522280bb72383700,-276330,-276320,7788146587631519497,1893387105294750335601,2000000000,0x54134dc34f964dddbdc4a81fdd8d024f
305599540,2021-05-05T02:10:21,0xa4c214dfab7ada5d5238315417c6b20baf23238f3a2535713cf54bbfc8ea2e21,42,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,195060,195540,229985723604286,167505955,44749767902513838,0x5565b5cd68564a7d88ec2dcf7a196d3c
